English,Japanese
selfish,自己中
incorporate,組み込む
quarryman,採石場
hobbyist,愛好家
greeting,挨拶
state,州
condense,凝縮
tearfully,涙ながら
connect,接続
massive,大規模
inconsequentially,重要ではありません
appointment,予定
associate_degree,准学士号
biopsy,生検
worthy,価値がある
rotation,回転
counterfeit,偽造
Typhaceae,タイタ科
tie_up,協力
brush,みがきます
Slav,スラブ人
soul_patch,魂のパッチ
aggrade,悪化
toughly,厳しい
poise,落ち着き
bosom,懐
watch_glass,時計皿
adjacent,隣接
laryngostenosis,喉頭症
register,登録
smugly,独善的
fusion,融合
dorsum,背部
diffuse,拡散
entire,全体
derive,派生する
seduce,誘惑します
encephalocele,脳細胞
ritual,儀式
cut,切る
equilibrium,平衡
out_of_the_way,邪魔にならないように
uncoiled,解体されていない
fell,落ちた
payables,買掛金
emblem,象徴
dentine,象徴
slender,細い
through,終えた
trigonometric,三角法
aimlessly,あてもなく
still,まだ
Indonesian,インドネシア語
mistrial,誤解
likeness,肖像
tap,タップします
barn_door,納屋のドア
Special_Forces,特別部隊
rheumatic_fever,リウマチ熱
nonverbal,非言語
proboscis,口論
unscrew,外ッズ
chemical_industry,化学工業
gastroesophageal,胃食道
side_view,側面図
reappraisal,再評価
eviscerate,内臓
pig,豚
writing,書き込み
startle,驚き
engaged,従事
proteolysis,タンパク質分解
comfort,快適
racetrack,競馬場
shipwreck,難破船
saddle-shaped,サドル型
wrongdoer,不正行為者
embroil,刺繍
rhinosporidiosis,サイ症
three-year-old_horse,3歳のホルス
accrete,付着
thuggery,強盗
doctrinal,教義上
use,使用
unawakened,認識されていない
coeliac,セリアック語
prove,証明
enactment,制定
forager,採餌者
flush,流す
truncate,切り捨てます
go_out,外出
connivance,黙認
bond,つなぐ
nonlinear,非線形
metamorphosis,変態
