English,Japanese
AA,単3電池 
AAA,単4電池
aback,後ろに
abacus,そろばん
abandon,捨てる
abandonment,放棄
abasic,無塩基
abate,弱まる
abattoir,食肉処理場
abbess,女子修道院長
abbey,修道院
abbot,修道院長
abbreviate,短縮する
abbreviated,略された
abbreviation,略語
abdicate,放棄する
abdication,退位
abdomen,腹部
abdominal,腹部
abduct,誘拐する
abducted,拉致
abduction,拉致
abed,就床して
aberrant,常軌を逸した
aberration,収差
abet,唆す
abhor,忌み嫌う
abhorrence,嫌悪
abhorrent,忌まわしい　
abide,守る
ability,能力
abiotic,非生物
abject,情けない
abjure,捨てる
ablate,切除する
ablaze,輝いている
able,できる
ably,巧みに
abnormal,異常な
abnormality,異常
abnormally,異常に
aboard,乗って
abolish,廃止する
abolition,廃止
abolitionist,廃止論者
abominable,忌まわしい　
abomination,醜態
Aboriginal,先住民
abort,中止
abortion,中絶
abortionist,堕胎医
abortive,失敗に終わった
abortus,流産児
abound,たくさんある
about,約
above,の上に
abrasion,摩耗
abrasive,研磨剤
abreast,横に並んで
abridge,削減する
abroad,海外で
abrogate,廃止する
abrogated,廃止
abrogation,廃止
abrupt,突然の
abruptly,突然
abscess,膿瘍
absence,不在
absent,欠席
absentee,不在者
absenteeism,常習的欠勤
absently,ぼんやり
absolute,絶対的な
absolutely,絶対に
absolution,赦免
absolutism,絶対主義
absolutist,絶対主義者
absolve,免除する
absorb,吸収する
absorbance,吸光度
absorbent,吸収剤
absorber,吸収体
absorption,吸収
abstain,棄権する
abstention,棄権
abstinence,禁欲
abstinent,禁欲
abstract,抽象
abstracted,抽象化された
abstraction,抽象化
abstruse,難解な
absurd,ばかげた
absurdist,不条理主義の
absurdity,不条理
absurdly,ばかばかしいほど
abundance,豊富
abundant,豊富な
abundantly,豊富に
abuse,虐待
abuser,虐待者
abusive,虐待的な
abut,隣接する
abuzz,騒然と
abysmal,ひどい　
abyss,深淵
academe,学界
academically,学究的に
academician,アカデミー会員
Acadian,アカディア人
accede,同意する
accelerate,加速する
acceleration,加速
accentuate,際立たせる
accentuated,強調
accept,受け入れる
acceptability,受容性
acceptable,許容可能な
acceptance,受け入れ
accepted,一般に認められた
accessibility,接近性
accessible,アクセス可能な
accession,加盟
accident,事故
accidental,不慮
accidentally,誤って
acclaim,称賛
acclaimed,著名
acclamation,歓呼
acclimate,順化
acclimated,順応された 
acclimation,順化
acclimatize,順応させる
accolade,栄誉
accommodate,受け入れる
accommodation,宿泊施設
accompaniment,伴奏
accompany,同行する
accomplice,共犯
accomplish,達成する
accomplished,達成された
accomplishment,達成
accord,調和
accordance,一致
according,従って
accordingly,それに応じて
accost,呼び掛ける
accountability,説明責任
accountable,責任がある
accountancy,会計学
accountant,会計士
accounting,会計
accredit,認定する
accreditation,認証された
accredited,公認の
accretion,合体
accrual,発生主義
accrue,生じる
acculturation,文化変容
accumulate,蓄積する
accumulation,蓄積
accuracy,精度
accurate,正確な
accurately,正確に
accusation,告発
accusative,対格
accusatory,非難する
accuse,非難する
accused,被告人
accusee,非難された者
accuser,原告
accustom,慣らす
accustomed,慣れて
acerbic,辛辣な
acetic,酢酸の
acetylated,アセチル化
acetylation,アセチル化
ache,痛み
achievable,達成可能な
achieve,達成する
achievement,業績
achieving,達成
Achilles,アキレス腱
achy,うずく
acid,酸
acidic,酸性の
acidification,酸性化
acidify,酸性にする
acidity,酸性度
acknowledge,認める
acknowledgement,承認
acknowledgment,承認
acme,頂点
acne,にきび
acoustic,音響
acquaint,知らせる
acquaintance,知り合い
acquiesce,黙従
acquiescence,黙諾
acquire,取得する
acquisition,買収
acquisitive,欲しがる
acquit,放免する
